,album_name,track_title,track_n,lyric,line
241,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Been here all along, so why can't you see?",12
242,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"You bеlong with me, you belong with me",13
243,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Walking the streets with you and your worn-out jeans,14
244,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,I can't help thinking this is how it ought to be,15
245,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Laughing on a park bench, thinking to myself",16
246,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Hey, isn't this easy?",17
247,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,And you've got a smile that could light up this whole town,18
248,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,I haven't seen it in a while since she brought you down,19
249,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"You say you're fine, I know you better than that",20
250,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Hey, whatcha doing with a girl like that?",21
251,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"She wears high heels, I wear sneakers",22
252,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,She's Cheer Captain and I'm on the bleachers,23
253,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Dreaming about the day when you wake up and find,24
254,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,That what you're looking for has been here the whole time,25
255,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,If you could see that I'm the one who understands you,26
256,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Been here all along, so why can't you see?",27
257,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,You belong with me,28
258,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Standing by and waiting at your back door,29
259,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"All this time how could you not know, baby?",30
260,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"You belong with me, you belong with me",31
261,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Oh, I remember you driving to my house",32
262,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,In the middle of the night,33
263,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,I'm the one who makes you laugh,34
264,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,When you know you're 'bout to cry,35
265,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,I know your favorite songs,36
266,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,And you tell me 'bout your dreams,37
267,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Think I know where you belong,38
268,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Think I know it's with me,39
269,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Can't you see that I'm the one who understands you,40
270,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"Been here all along, so why can't you see?",41
271,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,You belong with me,42
272,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Standing by and waiting at your back door,43
273,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"All this time how could you not know, baby?",44
274,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,"You belong with me, you belong with me",45
275,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,You belong with me,46
276,Fearless (Taylor’s Version),You Belong With Me (Taylor’s Version),6,Have you ever thought just maybe,47
